Regional-Schlüssel;Stadtkreis/kreisfreie Stadt/Landkeis;within;home;incoming;outgoing
145215116390;Marienberg, Stadt;3340;570;5100;2910
145215133590;Stollberg/Erzgeb., Stadt;2310;310;5640;3350
145215138690;Zschopau, Stadt;1730;170;3790;2810
145215140710;Zwönitz, Stadt;2260;260;2300;3060
145220050050;Brand-Erbisdorf, Stadt;1910;190;3350;3140
145220150150;Frankenberg/Sa., Stadt;2790;340;3680;4500
145225102060;Burgstädt, Stadt;1650;180;3280;3520
145225105080;Döbeln, Stadt;4950;540;6880;4070
145225109180;Freiberg, Stadt;11570;1260;13850;6360
145225119360;Mittweida, Stadt;3320;390;5770;3140
145230020020;Auerbach/Vogtl., Stadt;3200;440;3760;5400
145230320320;Plauen, Stadt;18320;1660;12140;10650
145235122300;Oelsnitz/Vogtl., Stadt;2460;170;4240;2870
145235125340;Reichenbach im Vogtland, Stadt;3760;540;4830;4500
145240080080;Glauchau, Stadt;4970;520;8250;5270
145240120120;Hohenstein-Ernstthal, Stadt;2270;290;4240;4600
145240200200;Mülsen;1580;260;1240;4580
145240300300;Werdau, Stadt;3730;680;4900;5480
145240320320;Wilkau-Haßlau, Stadt;1160;360;3040;3670
145240330330;Zwickau, Stadt;28930;2460;27260;15270
145245104030;Crimmitschau, Stadt;3950;600;4720;4690
145245114180;Limbach-Oberfrohna, Stadt;4410;610;6120;6750
145245118190;Meerane, Stadt;2940;180;4220;3920
145245128160;Lichtenstein/Sa., Stadt;2140;210;3160;3230
146120000000;Dresden, Stadt;197890;16220;85830;49380
146250020020;Bautzen, Stadt;11170;1300;17380;6100
146250240240;Hoyerswerda, Stadt;7850;620;5770;6580
146250480480;Radeberg, Stadt;3450;490;6380;5190
146255207040;Bischofswerda, Stadt;2230;320;3650;3090
146255216250;Kamenz, Stadt;3720;420;6290;3240
146260110110;Görlitz, Stadt;16300;1470;9740;5920
146260370370;Niesky, Stadt;2200;180;3330;2290
146260610610;Zittau, Stadt;6760;680;8590;4180
146265220290;Löbau, Stadt;3220;540;5980;3430
146265242600;Weißwasser/O.L., Stadt;4320;400;3830;3560
146270010010;Coswig, Stadt;3130;580;4280;6170
146270060060;Großenhain, Stadt;4120;830;4310;4330
146270140140;Meißen, Stadt;5800;1290;9630;5480
146270210210;Radebeul, Stadt;5050;1160;11130;10370
146270230230;Riesa, Stadt;8510;550;7970;5520
146270310310;Weinböhla;900;270;1030;4220
146280050050;Bannewitz;800;640;1570;4300
146280060060;Dippoldiswalde, Stadt;1980;320;3470;2990
146280110110;Freital, Stadt;6010;1140;6890;11760
146280160160;Heidenau, Stadt;1830;290;3420;5180
146280260260;Neustadt i. Sa., Stadt;2970;350;2440;3040
146280410410;Wilsdruff, Stadt;2000;360;5060;5240
146285229270;Pirna, Stadt;7180;1090;9650;8660
147130000000;Leipzig, Stadt;178910;18230;87980;49700
147290050050;Borna, Stadt;3870;320;6070;4580
147290140140;Frohburg, Stadt;1210;440;1020;3700
147290160160;Grimma, Stadt;6890;520;6250;6160
147290260260;Markkleeberg, Stadt;2480;950;5580;8340
147290270270;Markranstädt, Stadt;1880;450;3020;5520
147290410410;Wurzen, Stadt;3490;480;4850;4140
147300070070;Delitzsch, Stadt;5330;780;4730;6180
147300110110;Eilenburg, Stadt;3110;460;3520;3680
147300230230;Oschatz, Stadt;3550;630;4420;3120
147300270270;Schkeuditz, Stadt;3450;370;12030;4840
147300300300;Taucha, Stadt;1780;290;3840;4880
147305311310;Torgau, Stadt;4920;490;6540;3140
150010000000;Dessau-Roßlau, Stadt;26700;2520;14040;9840
150020000000;Halle (Saale), Stadt;71100;5840;43160;25830
150030000000;Magdeburg, Landeshauptstadt;77260;10200;47080;23900
150810135135;Gardelegen, Hansestadt;6660;320;3990;5100
150810280280;Klötze, Stadt;2080;210;1680;3150
150810455455;Salzwedel, Hansestadt;8000;650;4090;4200
150820015015;Bitterfeld-Wolfen, Stadt;11380;840;14090;6870
150820180180;Köthen (Anhalt), Stadt;6350;570;6570;5180
150820241241;Muldestausee;1280;190;760;4740
150820301301;Raguhn-Jeßnitz, Stadt;1180;310;1680;3660
150820340340;Sandersdorf-Brehna, Stadt;1980;240;3210;5390
150820377377;Südliches Anhalt, Stadt;1820;280;1560;5250
150820430430;Zerbst/Anhalt, Stadt;6830;620;2900;4070
150830270270;Haldensleben, Stadt;5640;440;9630;3450
150830298298;Hohe Börde;2390;340;2230;8020
150830411411;Oebisfelde-Weferlingen, Stadt;1400;280;820;5670
150830415415;Oschersleben (Bode), Stadt;5350;340;3610;3780
150830531531;Wanzleben-Börde, Stadt;2340;360;1810;4970
150830565565;Wolmirstedt, Stadt;1630;270;2310;4320
150840235235;Hohenmölsen, Stadt;1370;370;1190;3490
150840355355;Naumburg (Saale), Stadt;8970;770;5830;6140
150840550550;Weißenfels, Stadt;11230;600;8040;7430
150840590590;Zeitz, Stadt;6350;440;6400;4920
150850055055;Blankenburg (Harz), Stadt;3530;600;2420;5780
150850135135;Halberstadt, Stadt;10010;1950;8130;6220
150850228228;Oberharz am Brocken, Stadt;1570;350;630;3760
150850230230;Osterwieck, Stadt;1880;210;1250;4000
150850235235;Quedlinburg, Stadt;6170;590;6300;5670
150850330330;Thale, Stadt;3660;290;2730;4600
150850370370;Wernigerode, Stadt;10490;1110;9640;5390
150860015015;Burg, Stadt;6080;790;6900;3690
150860040040;Genthin, Stadt;3710;660;2890;2980
150860055055;Gommern, Stadt;1740;250;1720;3530
150860140140;Möckern, Stadt;2380;380;1650;4200
150870130130;Eisleben, Lutherstadt;5290;430;5850;5100
150870220220;Hettstedt, Stadt;2780;450;3770;2770
150870370370;Sangerhausen, Stadt;6770;940;6670;4760
150880020020;Bad Dürrenberg, Stadt;1500;320;1970;3370
150880065065;Braunsbedra, Stadt;1140;240;1180;4050
150880195195;Landsberg, Stadt;2560;450;8200;5470
150880205205;Leuna, Stadt;2340;320;9690;4810
150880220220;Merseburg, Stadt;6090;840;10570;8060
150880295295;Petersberg;710;230;650;4500
150880305305;Querfurt, Stadt;2690;310;2690;2490
150880319319;Salzatal;1090;380;600;5360
150880330330;Schkopau;910;350;4160;4900
150880365365;Teutschenthal;1640;460;2520;5510
150890015015;Aschersleben, Stadt;7030;580;6140;4840
150890030030;Bernburg (Saale), Stadt;9880;1140;6950;5340
150890055055;Calbe (Saale), Stadt;1890;200;1680;2090
150890305305;Schönebeck (Elbe), Stadt;7490;540;6280;6500
150890310310;Staßfurt, Stadt;6160;560;4580;5720
150900415415;Osterburg (Altmark), Hansestadt;1800;660;1640;2520
150900535535;Stendal, Hansestadt;12210;920;8010;5500
150900550550;Tangermünde, Stadt;2240;290;1570;2840
150910060060;Coswig (Anhalt), Stadt;2510;310;2120;3320
150910145145;Jessen (Elster), Stadt;3420;630;2060;3310
150910160160;Kemberg, Stadt;1480;270;980;3540
150910375375;Wittenberg, Lutherstadt;14980;1210;8360;6240
160510000000;Erfurt, Stadt;74970;5900;44230;21790
160520000000;Gera, Stadt;30320;2430;15970;14150
160530000000;Jena, Stadt;39740;2360;25490;10450
160540000000;Suhl, Stadt;11380;830;9740;6980
160550000000;Weimar, Stadt;18200;3010;12840;9740
160560000000;Eisenach, Stadt;13130;1330;14000;6400
160610045045;Heilbad Heiligenstadt, Stadt;2780;320;3120;5100
160610115115;Leinefelde-Worbis, Stadt;4250;650;5540;4460
160620041041;Nordhausen, Stadt;12450;920;11990;5470
160635051003;Bad Salzungen, Stadt;3640;340;7660;3740
160640003003;Bad Langensalza, Stadt;4320;380;4330;3740
160640046046;Mühlhausen/Thüringen, Stadt;9650;860;10830;4590
160650067067;Sondershausen, Stadt;6790;740;5060;3090
160660063063;Schmalkalden, Kurort, Stadt;4650;1020;5280;4030
160660092092;Zella-Mehlis, Stadt;1840;690;3920;3380
160665050042;Meiningen, Stadt;5400;870;8150;4250
160670029029;Gotha, Stadt;11730;1400;13710;7950
160670072072;Waltershausen, Stadt;2040;410;3690;2610
160680051051;Sömmerda, Stadt;4770;610;5390;3880
160690024024;Hildburghausen, Stadt;2890;290;4310;2640
160700029029;Ilmenau, Stadt;6880;830;6780;4400
160705050004;Arnstadt, Stadt;5540;520;9420;4810
160710001001;Apolda, Stadt;5260;570;4080;4480
160720018018;Sonneberg, Stadt;6150;540;6300;4600
160730076076;Rudolstadt, Stadt;5850;570;5670;4660
160735050077;Saalfeld/Saale, Stadt;7070;920;8910;4440
160745052018;Eisenberg, Stadt;2280;290;3680;2570
160750085085;Pößneck, Stadt;3320;340;4940;2150
160765052022;Greiz, Stadt;4960;870;4040;3740
160765054087;Zeulenroda-Triebes, Stadt;3780;600;3560;3260
160770001001;Altenburg, Stadt;7680;540;7320;6530
160770032032;Meuselwitz, Stadt;1680;230;1580;3090
160770043043;Schmölln, Stadt;2670;170;4650;2830
